"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"EP007","Feature: Skip Test","","0","0","0","1","0"
"EP005","Feature2: Purchase a product","Story:Purchase a product","0","0","1","0","0"
"EP004","Feature3: Product Browsing","Story:Product Browsing...","0","0","1","0","0"
"EP006","Feature: Title Check","","1","0","0","0","0"
"EP002","Feature1: Logo","Story:Logo Presence","0","0","1","0","0"
"EP002","Feature2: Signup","Story:Valid Signup","0","0","1","0","0"
"","","","0","1","0","0","0"
"EP003","Feature3: Login","Story:User Login","0","0","1","0","0"
